Badge,h1,h2,h3,h4,h5,h6,h7,h8,h9,h10,h11,h12,h13,h14,h15,h16,h17,h18,h19,h20,h21,h22,h23,h24
18177,0,0,0,0,0,0,1,5,28,24,15,15,22,33,45,22,30,0,1,0,2,1,1,2
28300,0,0,0,0,0,0,0,75,260,317,10,11,13,6,9,28,47,0,0,0,0,4,0,0
29030,0,0,0,0,0,3,21,41,44,22,27,7,15,6,21,2,0,0,0,0,0,0,0,0
29031,0,0,0,0,0,0,0,0,81,192,559,344,272,438,485,428,100,0,0,0,0,0,0,0
28302,2,1,3,0,0,0,4,36,87,141,233,149,131,236,300,309,187,111,106,41,54,120,111,6
28303,0,0,0,0,0,5,1,8,94,398,157,160,102,5204,11726,2701,1255,3002,34,6,0,2,32,0
29033,0,0,0,0,0,0,0,0,0,9,3,22,23,10,10,6,23,15,12,18,34,0,0,0
17450,0,0,0,0,0,0,0,1,22,12,8,12,3,10,3,4,0,0,0,0,0,0,0,0
17451,0,0,0,0,0,0,0,3,5,21,25,3,3,15,62,12,4,1,0,0,2,0,0,0
25471,0,0,0,2,0,8,39,15,27,0,9,18,11,21,2,0,0,0,0,0,2,0,0,0
18182,0,0,0,0,6,5,41,156,111,536,113,92,105,195,75,75,45,23,8,22,6,3,0,0
25472,0,0,0,0,0,1,15,26,102,87,169,60,140,136,158,179,31,21,1,0,0,0,0,0
29037,12,0,0,13,0,0,1,17,43,43,49,27,37,59,108,75,19,4,2,0,1,0,0,2
25473,0,0,0,0,0,0,236,723,960,659,751,309,280,747,745,546,86,8,0,0,0,0,0,0
13891,0,0,0,0,0,0,140,542,427,350,192,177,315,262,280,276,97,0,0,0,0,0,0,0
18185,0,0,0,0,0,0,63,860,979,1100,1023,464,1326,1107,1338,1081,505,21,2,0,0,0,0,0
25475,0,0,0,0,0,0,0,141,208,198,228,239,128,213,195,212,194,14,2,0,0,0,0,0
13893,0,0,0,0,0,0,39,63,32,4,11,30,31,44,41,308,14,20,0,0,0,1,0,0
25476,0,0,0,0,0,0,1,19,12,22,19,15,21,5,12,5,3,5,0,0,0,0,0,0
18187,0,1,0,0,0,0,18,201,472,568,447,383,235,433,580,788,509,352,192,105,89,63,17,3
13895,0,0,0,0,0,0,4,77,155,124,71,8,72,107,67,56,213,165,20,2,0,0,0,0
29041,0,0,0,0,0,0,0,0,2,1,1,3,3,1,8,3,1,1,0,0,0,0,0,0
28312,0,0,0,0,0,1,5,15,10,16,18,11,15,25,20,12,2,0,0,0,0,0,1,0
28313,0,0,0,0,2,6,13,42,13,24,15,32,14,23,6,3,0,6,3,7,0,0,0,0
16730,0,0,0,0,0,0,4,158,305,297,326,214,68,341,368,317,264,54,16,5,0,0,0,0
29043,0,0,0,0,0,0,0,0,9,8,10,7,5,5,10,10,6,4,0,0,0,0,0,0
29044,0,0,0,0,0,0,0,0,1,8,16,6,3,8,6,4,1,1,2,0,0,0,0,0
17461,0,0,0,0,0,0,3,119,174,160,260,221,196,388,505,609,663,37,0,0,0,0,0,0
25480,0,0,0,0,0,0,0,26,48,105,138,56,6,43,21,16,2,0,0,0,0,0,0,0
29045,0,0,0,0,0,0,0,0,2,6,8,0,0,1,6,2,0,0,0,0,0,0,0,0
25481,0,0,0,0,0,4,122,163,550,67,58,77,574,267,80,105,43,84,17,4,5,4,7,0
29046,0,0,0,0,0,0,0,12,61,122,68,57,17,55,68,24,0,0,0,0,0,0,0,0
29047,0,0,0,0,0,0,0,0,1,9,12,5,5,8,2,5,1,1,0,0,0,0,0,0
29048,0,0,0,0,0,0,0,3,2,48,48,37,57,30,23,31,39,34,29,7,6,1,0,0
28319,0,0,0,0,0,0,0,5,9,5,12,8,5,3,9,9,1,0,0,0,0,1,1,0
25484,0,0,0,0,0,0,115,78,141,113,194,81,108,139,300,167,27,19,47,4,25,57,28,15
29049,1,0,0,0,0,0,2,11,8,5,0,1,7,27,9,0,0,0,0,1,7,1,1,0
16737,0,0,0,0,0,0,14,363,452,628,557,380,312,479,429,449,314,92,2,12,0,0,0,0
25485,0,0,0,0,0,0,3,1,19,36,46,32,10,16,35,6,0,0,0,0,0,0,0,0
25489,0,0,0,0,0,0,46,452,802,1358,445,386,385,428,669,1384,138,0,1,4,7,23,5,0
29050,0,0,0,0,0,0,0,1,1,2,2,5,0,3,2,3,1,0,0,0,0,0,0,0
29051,0,0,0,0,0,0,0,1,10,84,69,69,26,50,70,52,92,75,26,0,0,0,0,0
29052,0,0,0,0,0,3,3,52,33,11,24,126,4,10,12,5,0,5,0,0,0,0,0,0
29053,0,0,0,0,0,10,29,27,22,24,27,19,14,46,6,4,1,3,25,2,0,0,0,0
29054,0,0,0,0,0,0,0,13,28,33,43,27,26,15,33,18,19,4,0,3,0,1,1,0
25490,0,0,0,0,9,8,13,17,11,10,6,7,12,8,2,0,0,2,12,0,0,0,0,0
29056,0,0,0,0,0,0,0,1,28,17,13,0,10,13,4,6,9,4,0,0,0,0,0,0
28327,0,0,0,1,41,43,48,55,21,44,59,89,40,57,18,1,2,0,0,1,0,0,0,0
29057,0,0,0,0,0,0,0,1,11,0,19,8,0,2,4,5,3,1,0,0,0,0,0,0
28328,0,0,0,0,0,2,8,4,5,0,0,6,19,16,4,0,0,0,0,0,0,0,0,0
25493,0,0,0,0,0,1,21,24,24,7,5,5,21,15,6,2,0,0,0,0,0,0,0,0
29059,0,0,0,0,0,0,17,32,57,68,79,20,46,18,27,24,14,2,2,0,0,0,0,0
17477,0,0,0,0,0,0,23,250,416,436,335,252,273,302,414,396,383,476,276,174,47,13,3,2
25497,0,0,0,0,0,0,0,5,9,29,196,495,402,420,353,370,295,218,280,48,4,0,0,0
25498,0,0,0,0,0,0,0,0,1,4,6,5,2,8,20,25,1,1,0,0,0,0,0,0
27600,0,0,0,0,0,0,218,156,230,197,128,136,22,227,230,141,7,4,1,0,0,0,0,0
29060,0,0,0,0,0,2,12,26,6,6,12,7,5,1,1,1,5,0,1,0,0,0,0,0
28331,0,0,0,0,0,0,2,3,3,14,9,3,2,11,16,3,1,0,0,0,0,0,0,0
29061,0,0,0,0,0,0,84,320,108,111,130,94,114,152,167,121,148,17,2,2,11,3,0,0
29062,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3,25,0,0,0,0,0,6,1
27604,0,0,0,0,0,2,8,24,25,33,56,39,92,10,51,17,60,8,7,0,0,0,0,0
29063,0,0,0,0,4,27,43,23,4,24,19,6,7,8,0,0,0,0,0,0,0,0,0,0
28334,0,0,0,0,1,0,1,290,541,541,586,525,225,402,494,428,339,77,0,0,0,0,11,1
29064,0,0,0,0,0,0,0,0,15,42,84,63,46,38,24,18,3,4,1,0,0,0,0,0
28335,0,0,0,0,0,14,12,34,23,20,18,3,15,1,2,0,0,0,0,0,0,0,0,0
29065,0,0,0,0,0,0,0,1,15,43,35,58,24,33,33,16,22,6,1,0,1,1,0,0
29066,0,0,0,0,0,0,2,26,39,56,55,49,34,48,21,23,21,2,0,0,0,3,0,0
28337,0,0,0,0,0,0,0,0,6,35,50,44,12,5,13,13,8,26,17,9,0,0,0,0
16754,0,0,0,0,0,34,207,279,217,185,158,153,72,207,90,23,0,0,0,0,0,0,0,0
27608,0,0,0,0,0,53,44,42,41,58,77,71,81,85,5,0,0,0,0,0,0,0,0,0
29067,0,0,0,0,0,1,18,17,4,7,11,6,8,23,7,4,2,5,0,0,0,0,0,0
27609,0,0,0,12,19,34,105,143,287,239,298,213,278,272,341,507,126,25,3,0,0,3,0,0
29068,0,0,0,0,0,13,3,14,12,8,12,28,10,8,41,0,1,0,0,2,0,0,0,0
16756,0,0,1,2,0,0,0,0,4,2,19,5,4,30,11,11,11,31,2,13,0,2,0,0
29069,0,0,0,0,0,0,0,4,26,14,13,9,7,13,14,16,6,6,2,3,0,0,3,0
27610,0,0,0,0,0,0,1,3,12,21,15,19,4,17,10,14,25,19,0,1,0,0,0,0
29070,0,0,0,0,0,0,22,13,11,8,12,15,17,46,30,4,0,0,2,0,1,6,0,0
27612,2,0,0,0,0,0,0,45,14,15,8,5,14,15,5,24,18,5,0,1,3,11,0,1
